,Attribute,Count,Percentage
,,,
,Background,,
,Pastel Blue,26,6.1905
,Pastel Green,32,7.6190
,Pastel Purple,32,7.6190
,Pastel Rainbow,28,6.6667
,White,302,71.9048
,,,
,Body,,
,Normal Skin,210,50.0000
,Round Skin,210,50.0000
,,,
,Coat,,
,Gold Pastel Coat,32,7.6190
,Grey Pastel Coat,103,24.5238
,Normal Pastel Coat,250,59.5238
,Whale Pastel Coat,35,8.3333
,,,
,Eyes,,
,Blue Pastel Eyes,83,19.7619
,Mismatched Pastel Eyes,36,8.5714
,Normal Eyes,301,71.6667
,,,
,Face,,
,Grey Pastel Face,80,19.0476
,Normal Pastel Face,309,73.5714
,Zombie Pastel Face,31,7.3810
,,,
,Glasses,,
,Futurist Glasses,18,4.2857
,None,290,69.0476
,Pastel 3D Glasses,63,15.0000
,Rainbow Glasses,11,2.6190
,Sun Glasses,38,9.0476
,,,
,Head,,
,Arrow,22,5.2381
,Black Hat,50,11.9048
,Devil Horns,26,6.1905
,None,216,51.4286
,Tail,106,25.2381
,,,
,Mouth,,
,Normal Mouth,154,36.6667
,Sad Mouth,74,17.6190
,Smile Mouth,160,38.0952
,Vampire Mouth,32,7.6190
,,,
,Nose,,
,Gorilla Nose,51,12.1429
,Normal Nose,369,87.8571
